ORDER	LATENCY	ABS
726	6566	6030115
727	6593	6036708
728	7213	6043921
729	6795	6050716
730	7938	6058654
731	10409	6069063
732	9589	6078652
733	8191	6086843
734	8255	6095098
735	10723	6105821
736	9980	6115801
737	11329	6127130
738	7990	6135120
739	9066	6144186
740	11525	6155711
741	13392	6169103
742	9420	6178523
743	9232	6187755
744	8141	6195896
745	6983	6202879
746	8193	6211072
747	9671	6220743
748	16554	6237297
749	7634	6244931
750	6728	6251659
751	7575	6259234
752	7021	6266255
753	7401	6273656
754	6808	6280464
755	7061	6287525
756	6381	6293906
757	6683	6300589
758	6284	6306873
759	6347	6313220
760	7959	6321179
761	7203	6328382
762	7180	6335562
763	10968	6346530
764	9209	6355739
765	8400	6364139
766	12546	6376685
767	47868	6424553
768	27158	6451711
769	21794	6473505
770	18117	6491622
771	16725	6508347
772	12621	6520968
773	10156	6531124
774	10182	6541306
775	10862	6552168
776	9175	6561343
777	7647	6568990
778	8488	6577478
779	7381	6584859
780	8634	6593493
781	7898	6601391
782	9937	6611328
783	6972	6618300
784	8256	6626556
785	10106	6636662
786	10502	6647164
787	11340	6658504
788	9785	6668289
789	9915	6678204
790	9138	6687342
791	8030	6695372
792	7121	6702493
793	7110	6709603
794	7669	6717272
795	6679	6723951
796	6699	6730650
797	7201	6737851
798	6286	6744137
799	6727	6750864
800	6828	6757692
801	6435	6764127
802	6404	6770531
803	7509	6778040
804	6568	6784608
805	6666	6791274
806	8101	6799375
807	8074	6807449
808	6879	6814328
809	7378	6821706
810	6787	6828493
811	6816	6835309
812	7076	6842385
813	6655	6849040
814	9033	6858073
815	7900	6865973
816	7790	6873763
817	7662	6881425
818	7891	6889316
819	8887	6898203
820	7484	6905687
821	8207	6913894
822	7878	6921772
823	8307	6930079
824	8242	6938321
825	8523	6946844
826	8171	6955015
827	8261	6963276
828	8635	6971911
829	8909	6980820
830	9897	6990717
831	11841	7002558
832	8146	7010704
833	9042	7019746
834	9199	7028945
835	8573	7037518
836	9047	7046565
837	9990	7056555
838	9197	7065752
839	9178	7074930
840	8921	7083851
841	7861	7091712
842	7983	7099695
843	7357	7107052
844	6767	7113819
845	7699	7121518
846	9506	7131024
847	8813	7139837
848	9546	7149383
849	8965	7158348
850	7941	7166289
851	8446	7174735
852	8045	7182780
853	8392	7191172
854	8370	7199542
855	7998	7207540
856	8108	7215648
857	9024	7224672
858	9544	7234216
859	8731	7242947
860	18048	7260995
861	9775	7270770
862	8186	7278956
863	8188	7287144
864	8466	7295610
865	8298	7303908
866	9910	7313818
867	7981	7321799
868	8650	7330449
869	9562	7340011
870	8624	7348635
871	8117	7356752
872	9106	7365858
873	8433	7374291
874	8019	7382310
875	8190	7390500
876	7988	7398488
877	8479	7406967
878	8714	7415681
879	13738	7429419
880	9062	7438481
881	18570	7457051
882	11433	7468484
883	13549	7482033
884	12190	7494223
885	21566	7515789
886	9191	7524980
887	10213	7535193
888	9621	7544814
889	8547	7553361
890	8852	7562213
891	8664	7570877
892	9842	7580719
893	10077	7590796
894	14418	7605214
895	10827	7616041
896	11527	7627568
897	9685	7637253
898	9843	7647096
899	8261	7655357
900	8776	7664133
901	8530	7672663
902	10275	7682938
903	8113	7691051
904	8286	7699337
905	8275	7707612
906	8147	7715759
907	8026	7723785
908	8932	7732717
909	8672	7741389
910	9000	7750389
911	8168	7758557
912	11638	7770195
913	9509	7779704
914	15908	7795612
915	10696	7806308
916	8599	7814907
917	8328	7823235
918	8657	7831892
919	8925	7840817
920	8178	7848995
921	10603	7859598
922	8637	7868235
923	8255	7876490
924	25876	7902366
925	9306	7911672
926	7875	7919547
927	7998	7927545
928	8025	7935570
929	8285	7943855
930	8423	7952278
931	11272	7963550
932	9911	7973461
933	10834	7984295
934	8576	7992871
935	8333	8001204
936	8115	8009319
937	8336	8017655
938	8367	8026022
939	11994	8038016
940	9228	8047244
941	8092	8055336
942	8705	8064041
943	8183	8072224
944	8716	8080940
945	8791	8089731
946	9155	8098886
947	10215	8109101
948	21849	8130950
949	9759	8140709
950	9209	8149918
951	8906	8158824
952	8675	8167499
953	9520	8177019
954	10987	8188006
955	8857	8196863
956	7727	8204590
957	9135	8213725
958	7813	8221538
959	7900	8229438
960	9709	8239147
961	9009	8248156
962	7684	8255840
963	8263	8264103
964	9284	8273387
965	8540	8281927
966	8085	8290012
967	8852	8298864
968	8727	8307591
969	7972	8315563
970	9347	8324910
971	8379	8333289
972	14523	8347812
973	12137	8359949
974	8818	8368767
975	8937	8377704
976	8629	8386333
977	11197	8397530
978	9081	8406611
979	8456	8415067
980	9461	8424528
981	9971	8434499
982	7975	8442474
983	9091	8451565
984	7883	8459448
985	8713	8468161
986	8525	8476686
987	8006	8484692
988	8970	8493662
989	10401	8504063
990	8515	8512578
991	7888	8520466
992	8039	8528505
993	8858	8537363
